category;category_title;path;id;filename;caption;order
faces;Развёртки;faces;40;2023_05_10_Aibash_back_ortho_id40.jpg;надпись 158;3
faces;Развёртки;faces;40;2023_05_10_Aibash_front_dem_id40.jpg;надпись 159;2
faces;Развёртки;faces;40;2023_05_10_Aibash_front_ortho_id40.jpg;надпись 160;1
faces;Развёртки;faces;34;2023_05_10_Kurkachi_1_back_dem_id34.jpg;надпись 161;4
faces;Развёртки;faces;34;2023_05_10_Kurkachi_1_back_ortho_id34.jpg;надпись 162;3
faces;Развёртки;faces;34;2023_05_10_Kurkachi_1_front_dem_id34.jpg;надпись 163;2
faces;Развёртки;faces;34;2023_05_10_Kurkachi_1_front_ortho_id34.jpg;надпись 164;1
faces;Развёртки;faces;28;2023_05_10_Yamashurma_1_front_dem_id28.jpg;надпись 165;2
faces;Развёртки;faces;28;2023_05_10_Yamashurma_1_front_ortho_id28.jpg;надпись 166;1
faces;Развёртки;faces;30;2023_05_10_Yamashurma_2_front_back_id30.jpg;надпись 167;2
faces;Развёртки;faces;30;2023_05_10_Yamashurma_2_front_ortho_id30.jpg;надпись 168;1
faces;Развёртки;faces;31;2023_05_10_Yamashurma_3_front_dem_id31.jpg;надпись 169;2
faces;Развёртки;faces;31;2023_05_10_Yamashurma_3_front_ortho_id31.jpg;надпись 170;1
faces;Развёртки;faces;33;2023_05_10_Yamashurma_4_left_dem_id33.jpg;надпись 171;4
faces;Развёртки;faces;33;2023_05_10_Yamashurma_4_left_ortho_id33.jpg;надпись 172;3
faces;Развёртки;faces;33;2023_05_10_Yamashurma_4_right_dem_id33.jpg;надпись 173;2
faces;Развёртки;faces;33;2023_05_10_Yamashurma_4_right_ortho_id33.jpg;надпись 174;1
faces;Развёртки;faces;32;2023_05_10_Yamashurma_5_front_dem_id32.jpg;надпись 175;2
faces;Развёртки;faces;32;2023_05_10_Yamashurma_5_front_ortho_id32.jpg;надпись 176;1
faces;Развёртки;faces;29;2023_05_10_Yamashurma_6_back_dem_id29.jpg;надпись 177;4
faces;Развёртки;faces;29;2023_05_10_Yamashurma_6_back_ortho_id29.jpg;надпись 178;3
faces;Развёртки;faces;29;2023_05_10_Yamashurma_6_front_dem_id29.jpg;надпись 179;2
