ID;NAME;Lat;Lon;ADMIN;LOCAL;DATE;FRONT;WHOLE;PLACE;POSITION;YEAR;PERSON;GENDER;DEATH;depth;width;height;DESCRIPTION;TYPE
90;Староузюмское кладбище. Надгробие 2;56.33716;49.56246;Атнинский;Старый Узюм;16;да;нет;кладбище;вертикаль;;;;;22;65;84;;барельеф
91;Староузюмское кладбище. Надгробие 3;56.33739;49.56279;Атнинский;Старый Узюм;16;нет;нет;кладбище;вертикаль;;;;;13;61;110;;барельеф
92;Староузюмское кладбище. Надгробие 4;56.33750;49.56521;Атнинский;Старый Узюм;16;да;да;кладбище;вертикаль;;;;;18;51;125;;барельеф
93;Нижнеберескинское надгробие 2;56.23387;49.31495;Атнинский;Нижняя Береске;16;да;да;кладбище;горизонталь;;;;;18;48;120;;барельеф
94;Нижнеберескинское надгробие 3;56.23358;49.31468;Атнинский;Нижняя Береске;16;да;нет;кладбище;вертикаль;;;;;12;47;60;;барельеф
95;Малоатнинское надгробие 1;56.23524;49.45963;Атнинский;Малая Атня;16;да;да;отдельно;вертикаль;;;;;22;52;128;;барельеф
96;Малоатнинское надгробие 2;56.23545;49.45883;Атнинский;Малая Атня;16;да;да;отдельно;вертикаль;;;;;23;50;135;;барельеф
97;Малоатнинское надгробие 3;56.23521;49.45840;Атнинский;Малая Атня;16;да;да;отдельно;вертикаль;;;;;14;38;102;;барельеф
98;Малоатнинское надгробие 4;56.23511;49.45840;Атнинский;Малая Атня;16;да;нет;отдельно;вертикаль;;;;;13;45;67;;барельеф
99;Коморгузинское надгробие 2;56.15554;49.45654;Атнинский;Комургузя;16;да;нет;кладбище;вертикаль;;;;;25;51;95;;барельеф
100;Коморгузинское надгробие 3;56.15585;49.45647;Атнинский;Комургузя;16;да;да;кладбище;вертикаль;;;;;27;49;150;;барельеф
101;Коморгузинское надгробие 4;56.15580;49.45652;Атнинский;Комургузя;16;да;нет;кладбище;вертикаль;;;;;22;48;95;;барельеф
102;Нижнеберескинское надгробие 4;56.23305;49.31585;Атнинский;Нижняя Береске;16;да;да;кладбище;вертикаль;;;;;17;38;115;;врезной
103;Староузюмское кладбище. Надгробие 5;56.33735;49.56272;Атнинский;Старый Узюм;16;нет;нет;кладбище;вертикаль;;;;;17;50;148;;барельеф
104;Староменгерское кладбище. Надгробие 9;56.23761;49.54545;Атнинский;Старый Менгер;16;нет;нет;кладбище;вертикаль;;;;;17;54;56;;барельеф
105;Староменгерское кладбище. Надгробие 10;56.23701;49.54499;Атнинский;Старый Менгер;16;нет;да;кладбище;вертикаль;;;;;26;54;131;;барельеф
106;Староменгерское кладбище. Надгробие 11;56.23871;49.54341;Атнинский;Старый Менгер;16;да;да;отдельно;вертикаль;;;;;14;46;117;;барельеф
107;Кирменское кладбище. Надгробие 1;55.65323;51.13999;Мамадышский;Средние Кирмени;14;да;нет;кладбище;вертикаль;;;;;21;38;42;;врезной
